feature_f1,feature_f2,feature_f3,feature_f4,feature_f5,feature_f6,feature_f7,feature_f8,feature_f9,feature_f10,feature_f11,feature_f12,feature_f13,feature_f14,feature_f15,feature_f16,feature_f17,feature_f18,feature_f19,feature_f20,feature_f21,feature_f22,feature_f23,feature_f24,label_num
0.0,0.0,1.0,23,0.0,0.0,0.5,0.4,0.0,0.0,0.0,-0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,5,0.0,0.6,1,1
0.02857142857142857,0.0,0.0,35,0.8,0.0,0.2,0.5714285714285714,0.14285714285714285,0.0,0.0,0.466,0.618,0.0,0.0,0.0,0.0,0.0,0.0,0.14200000000000002,5,0.125,0.6,1,1
0.004098360655737705,0.02459016393442623,0.4,244,0.21428571428571427,0.0,0.2857142857142857,0.5531914893617021,0.1702127659574468,0.3,0.01639344262295082,0.109,0.348,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.4455,5,0.0,0.6,1,1
0.0,0.0,1.0,17,1.0,0.0,0.0,0.2,0.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,5,0.0,0.6,1,1
0.0,0.0,1.0,21,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.288,0.494,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.10599999999999998,5,0.0,0.6,1,2
0.02857142857142857,0.0,0.0,70,0.25,0.25,0.5,0.6666666666666666,0.26666666666666666,0.3333333333333333,0.02857142857142857,0.219,0.385,1.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.14049999999999996,8,0.0,0.625,1,1
0.045454545454545456,0.045454545454545456,0.0,22,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,8,0.0,0.625,1,1
0.0,0.014705882352941176,0.0,68,0.0,0.3333333333333333,0.0,0.6,0.1,0.0,0.014705882352941176,0.281,0.709,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.10949999999999993,8,0.0,0.625,1,1
0.0,0.0,0.0,27,0.0,0.0,1.0,0.3333333333333333,0.16666666666666666,0.0,0.037037037037037035,-0.938,0.75,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.031000000000000028,8,0.0,0.625,1,1
0.0,0.03076923076923077,0.5,65,0.5714285714285714,0.0,0.42857142857142855,0.25,0.5,0.0,0.015384615384615385,0.267,0.463,1.0,0.0,0.7142857142857143,0.0,0.0,0.03076923076923077,0.36650000000000005,8,0.0,0.625,1,1
0.0,0.023255813953488372,0.0,43,0.2,0.0,0.0,0.26666666666666666,0.0,0.0,0.06976744186046512,-0.2,0.333,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.6,8,0.0,0.625,1,1
0.019801980198019802,0.019801980198019802,0.3333333333333333,101,0.3,0.0,0.5,0.4782608695652174,0.30434782608695654,0.3333333333333333,0.039603960396039604,0.024,0.399,0.0,0.0,0.0,0.0,0.0,0.0297029702970297,0.512,8,0.0,0.625,1,2
0.0,0.05405405405405406,0.0,37,0.5,0.25,0.25,0.375,0.25,0.0,0.0,0.792,0.858,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.10399999999999998,8,0.0,0.625,1,2
0.0,0.018518518518518517,0.5,54,0.4,0.0,0.6,0.6153846153846154,0.23076923076923078,0.0,0.037037037037037035,0.347,0.6,1.0,0.0,0.2,0.0,0.0,0.018518518518518517,0.1735,8,0.0,0.625,2,1
0.013888888888888888,0.0,0.0,72,0.0,0.42857142857142855,0.42857142857142855,0.0,0.7857142857142857,0.3333333333333333,0.013888888888888888,0.205,0.479,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.6025,8,0.0,0.625,2,1
0.0,0.0,1.0,30,0.8,0.0,0.2,0.7142857142857143,0.14285714285714285,0.0,0.03333333333333333,0.5,0.55,1.0,0.0,0.5,0.0,0.0,0.1,0.0,8,0.0,0.625,2,1
0.0,0.011764705882352941,0.0,170,0.3333333333333333,0.0,0.16666666666666666,0.41379310344827586,0.27586206896551724,0.16666666666666666,0.029411764705882353,0.334,0.759,1.0,0.0,0.25,0.0,0.0,0.011764705882352941,0.33299999999999996,8,0.0,0.625,2,1
0.0,0.0,0.0,57,0.2,0.6,0.2,0.8888888888888888,0.1111111111111111,0.0,0.017543859649122806,0.433,0.633,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,0.2835,8,0.0,0.625,2,1
0.0,0.0,1.0,37,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.678,0.778,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.16100000000000003,8,0.0,0.625,2,1
